price,discount,day_of_week,is_weekend,is_campaign,stock_level,competitor_price,units_sold
202,17,2,1,0,170,659,80
535,29,2,1,0,443,293,89
960,14,1,1,1,431,835,67
370,26,6,1,1,420,747,125
206,33,1,1,0,235,633,113
171,37,1,1,0,24,617,120
800,32,5,0,0,233,815,51
120,23,1,0,1,70,850,105
714,14,4,0,0,131,284,40
221,29,3,1,0,286,971,107
566,41,0,0,1,55,391,106
314,16,2,1,1,462,434,110
430,4,4,1,1,399,831,86
558,28,0,0,1,303,215,85
187,3,6,1,1,71,924,87
472,9,6,0,0,95,148,36
199,16,6,0,0,455,784,68
971,9,4,0,1,219,181,44
763,16,4,1,1,87,933,83
230,19,2,0,1,211,432,93
761,23,3,1,1,311,656,98
408,4,1,0,1,406,434,56
869,33,6,0,0,232,631,53
443,5,5,0,0,231,320,31
591,1,3,1,0,12,734,42
513,12,5,1,0,487,845,70
905,42,2,1,1,15,832,113
485,42,2,0,0,102,422,87
291,47,2,0,1,17,950,140
376,10,0,1,1,437,102,88
260,46,5,1,1,244,793,155
559,22,3,1,0,117,305,70
413,15,3,1,1,170,931,108
121,30,4,1,0,218,139,115
352,10,4,1,0,249,158,61
847,15,6,0,1,340,673,56
956,7,4,1,1,342,743,53
660,3,2,0,1,59,606,51
574,39,3,0,0,20,671,81
158,3,5,1,1,360,983,90
610,24,2,1,0,165,942,70
781,2,0,0,1,79,221,46
575,31,4,1,1,178,578,118
799,2,2,1,0,281,718,26
882,26,2,0,0,77,195,39
289,28,0,0,0,364,958,76
786,31,1,0,0,261,513,64
662,49,3,1,0,57,334,114
975,18,5,0,0,193,997,25
666,20,6,1,1,329,161,94
343,4,1,0,1,196,355,62
931,17,4,0,0,99,660,27
604,27,2,0,1,455,447,99
230,41,0,1,0,341,770,115
584,21,0,1,1,148,223,107
918,20,3,0,1,366,581,56
746,5,1,0,0,98,416,19
120,0,6,0,0,283,603,44
940,4,3,1,0,28,818,29
266,40,2,0,1,480,147,132
373,11,3,1,0,320,508,60
487,25,5,0,1,367,235,86
700,45,0,0,0,383,300,88
415,33,0,0,1,475,349,106
113,48,4,0,1,163,413,154
341,13,4,0,0,399,968,46
876,25,6,0,1,269,467,68
445,44,2,1,1,117,528,135
664,26,5,0,0,380,929,45
997,8,1,1,1,294,906,71
439,25,3,0,0,68,579,70
191,46,6,0,0,134,413,109
466,21,2,1,0,363,599,80
554,46,4,0,0,282,820,90
527,29,3,1,1,116,454,109
608,42,4,1,1,308,584,130
875,47,3,0,1,254,310,107
134,16,1,1,0,345,803,90
305,25,2,1,1,459,143,112
180,35,3,0,1,427,640,130
661,0,5,1,0,256,670,42
971,7,6,0,0,17,682,9
487,48,0,0,1,150,191,125
101,34,5,0,0,371,364,94
489,14,5,0,0,17,994,54
665,46,6,1,0,487,319,109
205,21,0,0,0,361,541,65
871,13,5,0,1,493,500,59
921,25,3,1,0,103,499,70
576,27,3,0,0,330,826,52
802,22,3,0,0,436,998,44
501,13,0,1,0,48,888,69
829,23,5,1,0,90,675,67
655,1,0,1,0,196,957,37
261,44,3,1,0,93,903,125
301,25,6,1,0,97,589,91
369,13,5,1,1,251,584,104
962,6,5,1,0,351,856,28
915,2,4,0,1,102,569,40
370,46,4,1,0,95,673,112
555,22,1,1,0,53,943,84
561,45,2,1,0,146,781,114
826,42,4,0,0,430,544,62
351,46,0,0,1,83,368,130
801,44,4,1,0,45,366,87
395,17,1,1,0,110,153,75
824,37,5,1,1,485,627,114
819,34,1,0,1,165,619,92
848,14,5,0,0,435,715,24
437,24,6,1,1,264,158,120
978,36,6,0,1,180,924,76
152,27,5,1,1,478,139,133
891,9,2,0,0,225,336,17
316,38,4,0,0,179,485,98
863,16,0,1,0,261,705,50
287,38,0,1,1,369,833,147
479,21,3,1,0,331,815,83
592,25,5,1,1,64,749,115
140,43,0,0,0,465,399,114
256,24,2,0,0,441,494,65
114,16,5,0,1,100,306,103
912,12,2,1,0,287,435,37
164,19,0,0,1,110,692,101
956,24,0,1,1,164,829,88
938,3,3,0,0,386,613,11
620,9,0,1,1,358,277,86
443,2,5,1,0,460,495,55
228,40,6,0,0,373,470,97
747,44,5,1,1,150,957,129
571,17,5,1,0,182,890,68
162,46,3,0,1,19,757,133
238,35,3,1,0,237,417,106
598,46,0,1,0,274,835,100
692,21,1,1,0,447,468,70
491,33,1,0,0,257,483,71
774,46,3,0,0,256,161,76
518,7,0,1,1,164,905,88
388,39,1,0,1,43,604,122
478,48,0,1,1,138,338,145
872,43,0,1,1,169,294,121
589,18,0,1,1,98,777,99
330,41,4,1,1,102,321,145
140,40,5,1,0,336,160,129
127,36,0,0,0,250,228,103
234,5,4,1,1,332,784,88
300,25,3,0,1,477,255,99
939,33,1,0,0,413,477,46
